epoch,lr-Adam,lr-Adam-1,step,train/kl_loss_epoch,train/kl_loss_step,train/logits/fake_epoch,train/logits/fake_step,train/logits/real_epoch,train/logits/real_step,train/loss/disc_epoch,train/loss/disc_step,train/loss/g_epoch,train/loss/g_step,train/loss/nll_epoch,train/loss/nll_step,train/loss/rec_epoch,train/loss/rec_step,train/loss/total_epoch,train/loss/total_step,train/scalars/d_weight_epoch,train/scalars/d_weight_step,train/scalars/logvar_epoch,train/scalars/logvar_step,val/kl_loss,val/logits/fake,val/logits/real,val/loss/disc,val/loss/g,val/loss/nll,val/loss/rec,val/loss/total,val/metrics/psnr,val/metrics/ssim,val/scalars/d_weight,val/scalars/logvar,val_ema/kl_loss,val_ema/logits/fake,val_ema/logits/real,val_ema/loss/disc,val_ema/loss/g,val_ema/loss/nll,val_ema/loss/rec,val_ema/loss/total,val_ema/metrics/psnr,val_ema/metrics/ssim,val_ema/scalars/d_weight,val_ema/scalars/logvar
,4.5e-06,4.5e-06,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,49,,240.0,,-0.5625,,-0.59765625,,0.0,,0.0,,7712.0,,0.470703125,,7936.0,,0.0,,-0.00011110305786132812,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,99,,284.0,,-0.57421875,,-0.6015625,,0.0,,0.0,,6560.0,,0.400390625,,6848.0,,0.0,,-0.00022983551025390625,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,149,,358.0,,-0.5859375,,-0.59375,,0.0,,0.0,,5664.0,,0.345703125,,6016.0,,0.0,,-0.000370025634765625,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,199,,396.0,,-0.5859375,,-0.59765625,,0.0,,0.0,,5216.0,,0.318359375,,5600.0,,0.0,,-0.0005035400390625,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,249,,420.0,,-0.59375,,-0.59375,,0.0,,0.0,,4800.0,,0.29296875,,5216.0,,0.0,,-0.000598907470703125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,299,,440.0,,-0.58984375,,-0.58984375,,0.0,,0.0,,4480.0,,0.2734375,,4928.0,,0.0,,-0.00069427490234375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,349,,458.0,,-0.5859375,,-0.58203125,,0.0,,0.0,,4384.0,,0.26953125,,4832.0,,0.0,,-0.000789642333984375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,399,,460.0,,-0.59375,,-0.58984375,,0.0,,0.0,,4160.0,,0.255859375,,4608.0,,0.0,,-0.000885009765625,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,449,,454.0,,-0.58984375,,-0.578125,,0.0,,0.0,,4256.0,,0.26171875,,4704.0,,0.0,,-0.00098419189453125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,499,,462.0,,-0.5859375,,-0.578125,,0.0,,0.0,,4128.0,,0.25390625,,4576.0,,0.0,,-0.0011749267578125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,549,,470.0,,-0.60546875,,-0.6015625,,0.0,,0.0,,3920.0,,0.240234375,,4384.0,,0.0,,-0.00136566162109375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,599,,472.0,,-0.59375,,-0.59375,,0.0,,0.0,,3936.0,,0.2421875,,4416.0,,0.0,,-0.001556396484375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,649,,472.0,,-0.61328125,,-0.60546875,,0.0,,0.0,,3728.0,,0.2294921875,,4192.0,,0.0,,-0.00174713134765625,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,699,,468.0,,-0.58203125,,-0.58203125,,0.0,,0.0,,3872.0,,0.23828125,,4352.0,,0.0,,-0.0019378662109375,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,749,,482.0,,-0.6015625,,-0.60546875,,0.0,,0.0,,3792.0,,0.2333984375,,4288.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,799,,486.0,,-0.58984375,,-0.5859375,,0.0,,0.0,,3888.0,,0.2392578125,,4384.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,849,,476.0,,-0.58984375,,-0.5859375,,0.0,,0.0,,3632.0,,0.2236328125,,4096.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,899,,496.0,,-0.59765625,,-0.58984375,,0.0,,0.0,,3824.0,,0.2353515625,,4320.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,949,,490.0,,-0.6015625,,-0.59375,,0.0,,0.0,,3552.0,,0.21875,,4048.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,999,,480.0,,-0.58984375,,-0.58203125,,0.0,,0.0,,3552.0,,0.21875,,4032.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1049,,500.0,,-0.5859375,,-0.5859375,,0.0,,0.0,,3616.0,,0.22265625,,4128.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1099,,488.0,,-0.59765625,,-0.5859375,,0.0,,0.0,,3600.0,,0.2216796875,,4096.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,1149,,488.0,,-0.6015625,,-0.59765625,,0.0,,0.0,,3488.0,,0.21484375,,3968.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
